Sep 1, 2005 4:58:41 PM ET 
ALL 55.79 -0.75
BA 65.99 -1.54
BC 43.00 -2.27
GBEL 6.85 -3.52
KFT 30.97 -0.10
MCD 31.55 -2.77
TR 31.97 0.35
WAG 45.75 -1.25

Sep 2, 2005 12:50:26 PM ET
ALL 55.33 -0.82
BA 64.52 -2.23
BC 42.91 -0.21
KFT 30.98 0.78
MCD 31.89 1.08
TR 32.35 1.19
WAG 45.32 -0.94

Sep 2, 2005 5:30:42 PM ET
ALL 55.53 -0.47
BA 64.34 -2.50
BC 42.99 -0.02
GBEL 6.80 -0.73
KFT 30.79 0.16
MCD 31.90 1.11
TR 32.44 1.47
WAG 45.13 -1.36

Sep 6, 2005 3:09:40 PM ET
ALL 55.89 0.65
BA 64.77 0.67
BC 43.39 0.93
GBEL 6.80 0.00
KFT 30.64 -0.49
MCD 32.71 2.54
TR 32.21 -0.71
WAG 45.65 1.16

Sep 6, 2005 4:52:15 PM ET
ALL 55.90 0.67
BA 65.03 1.07
BC 43.32 0.77
GBEL 6.80 0.00
KFT 30.66 -0.42
MCD 32.66 2.38
TR 32.31 -0.40
WAG 45.78 1.44

