Last updated Sep 1, 2005 4:58:41 PM ET
AOC: 30.5, 30.27, 18.15
AGY: 46.7, 46.97, 33.29
FRFC: 25.5, 25.25, 22.50
HMN: 20.2, 20.25, 15.86
HSP: 40.28, 39.90, 27.35
HUBG: 33.17, 33.45, 13.25
GAS: 41.87, 42.15, 35.50
PTV: 19.24, 25.73, 19.20
SLE: 18.83, 25.00, 18.88
TAYC: 39.22, 39.59, 22.75
TRZ: 22.7, 22.63, 15.75

Last updated Sep 2, 2005 12:50:26 PM ET
AOC: 30.41, 30.27, 18.15
AGY: 46.68, 46.97, 33.29
HMN: 20.27, 20.25, 15.86
HUBG: 33.2, 33.45, 13.25
SLE: 18.94, 25.00, 18.88
TRZ: 22.67, 22.63, 15.75

Last updated Sep 2, 2005 5:30:42 PM ET
AGY: 46.7, 46.97, 33.29
HMN: 20.2, 20.25, 15.86
HSP: 40.11, 39.90, 27.35
NEOL: 13.87, 14.00, 6.07
SLE: 18.93, 25.00, 18.88

Last updated Sep 6, 2005 3:09:40 PM ET
AOC: 30.92, 30.97, 18.15
AGY: 46.84, 46.97, 33.58
BABB: 1.23, 1.23, 0.62
EXC: 55.25, 54.88, 35.99
HMN: 20.41, 20.42, 15.86
HSP: 41.08, 40.71, 28.10
GAS: 41.76, 42.15, 35.50
PTV: 19.06, 25.73, 18.88
SLE: 18.92, 25.00, 18.80
USM: 55.21, 55.39, 40.60
UFMC: 5.4, 5.44, 3.82

Last updated Sep 6, 2005 4:52:15 PM ET
AML: 33.23, 33.49, 26.76
AOC: 30.79, 30.97, 18.15
AGY: 46.81, 46.97, 33.58
BABB: 1.22, 1.23, 0.62
CAT: 58.51, 58.80, 36.98
GGP: 47.01, 47.47, 29.74
HMN: 20.5, 20.42, 15.86
IEX: 43.55, 43.98, 32.09
GAS: 41.94, 42.15, 35.50
PTV: 18.99, 25.73, 18.88
USM: 55.15, 55.39, 40.60
UFMC: 5.39, 5.44, 3.82

